Away Team,Home Team,Home Spread,Home Score,Visitor Score,Total Result,Binary Total Result ,Projected Total
DAL,PHI,0,34,18,U,0,57
TB,ARI,-2.5,36,16,O,1,51.5
IND,MIA,7.5,16,12,U,0,55.5
LAR,DEN,3,21,27,U,0,55.5
NE,DAL,2.5,27,30,U,0,60.5
MIN,PIT,5,43,28,O,1,57.5
OAK,NYG,0,35,37,O,1,57.5
LAC,SF,-6,17,58,O,1,58
DAL,ATL,6,30,14,U,0,57.5
CHI,BUF,4.5,16,17,U,0,49.5
WAS,DET,-3.5,24,41,O,1,57
DAL,SF,-2.5,47,26,O,1,58
GB,NE,0,18,48,O,1,58.5
BAL,SEA,-3.5,10,38,U,0,55.5
LAC,NO,-6,24,43,O,1,60
PIT,LAC,0,24,38,O,1,58
HOU,DAL,-5.5,29,31,O,1,57
NE,LAR,6,42,10,U,0,57
TB,NYG,5,45,35,O,1,56.5
ATL,ARI,3.5,13,21,U,0,53
KC,MIN,-2.5,43,33,O,1,64.5
GB,PHI,3.5,16,46,O,1,55.5
BAL,NYJ,7.5,34,22,O,1,55.5
GB,NO,0,30,23,U,0,58.5
CAR,BAL,-4.5,38,28,O,1,54.5
JAC,ATL,-6,23,20,U,0,55
TEN,CLE,0,24,21,U,0,51.5
DAL,SEA,3.5,38,61,O,1,55
PIT,GB,-6.5,44,37,O,1,57.5
KC,IND,4.5,55,52,O,1,63.5
BUF,WAS,3,24,10,U,0,51
NE,PHI,4,33,25,O,1,57.5
ATL,CHI,-1,20,27,U,0,53
LAR,TB,3,36,24,O,1,57.5
DEN,CLE,-2.5,31,16,U,0,56.5
MIN,SF,-3,31,26,P,2,57
DAL,BAL,3.5,38,22,O,1,57
NE,JAC,10.5,34,31,O,1,55.5
DET,CIN,3.5,46,6,U,0,55
NE,NO,0,31,43,O,1,57
BAL,LAC,3,42,48,O,1,57.5
NYJ,HOU,-3.5,13,26,U,0,57
ARI,NYG,3.5,24,19,U,0,53
GB,KC,3.5,40,34,O,1,63.5
SF,PIT,6,28,23,U,0,57
LAR,CHI,-2.5,37,27,O,1,54
OAK,MIA,6,38,44,O,1,57
